#,Tracker,Status,Priority,Subject,Assignee,Updated,Description,Last notes
21300,??????,?????,???????,?????? ?????????? Performance 60% ??? ????? ????????? ?????? ????? ? ChromeDevTool,?????? ???????,06/22/2023 08:35 PM,"*???? ???????????????:*
1)??????? ???? https://perinalux.com.ua/
2)??????? ChromeDevTool
3)?????????? Lighthouse ???? ??? ????????? ????????? 
https://gyazo.com/09f5c6812315d9de48e544db8477a72f

????????? ?????????: ??? ???????? ????????????? ????? ??? ?????????????????? ?????? ???? ??????? 80%
??????????? ?????????: ?????? ?????????? Perfomance 60%",""
21299,??????,?????,??????????,???????? ?????? ?????? ?????? ???? ??????? ??? ????? ?????? ???????,????????? ?????????,06/22/2023 08:35 PM,"

???? ???????????????:
1) ??????? ?? ???? perinalux.com.ua
2) ?????? ????? ?????? ? ????????? ??????
https://gyazo.com/33eac30d9b41a9e19911792bc9d6c3af



????????? ?????????:
????????? ?????? ?????? ?????? ??????? ?? ??????? ??? ?????? ?????????, ??? ????? ?? ??????
??????????? ?????????:
???????? ?????? ?????? ?????? ???? ??????? ??? ????? ?????? ???????

",""
21298,??????,?????,???????,"?????????? ?????? ""???????? ?????"" ? ???? ""???????""",Natali Rudich,06/22/2023 08:31 PM,"???? ???????????????:
1) ??????? ?? ???? perinalux.com.ua
2) ??????? ?????  
3) ??????? ? ""???????""



????????? ?????????:
?????? ""???????? ?????"" ???????????? ? ???? ??????? 

??????????? ?????????:
?????? ???????? ????? ??????????? ",""
21297,??????,?????,???????,"?????? ????????? ?????? ""?????"" ? ?????? ??????? ????????.",Oleksandr Lyshenko,06/22/2023 08:25 PM,"*???? ???????????????:*
*1)* ??????? ??????? ???????? ????? https://perinalux.com.ua/
*2)* ??????????? ??????????? ?? ""UA"" ? ?????? ??????? ????????.
*3)* ? ?????? ""?????"" ????????? ?????????

https://gyazo.com/b27b5fb81ad52d318fd994f3108dcc77
https://gyazo.com/55bfacbed0f831caa6563330d2efe403

*????????? ?????????:* ????????? ?????? ""?????"" ? ?????? ??????? ????????.
*??????????? ?????????:* ?????? ????????? ?????? ""?????"" ? ?????? ??????? ????????.",""
21296,??????,?????,???????,??????????? ????????? ?????? ???????? ??? ?????????? ??????,????????? ?????????,06/22/2023 08:24 PM,"??????????? ????????? ?????? ???????? ??? ?????????? ??????
*???? ???????????????*
1)????? ?? ???? https://perinalux.com.ua/
2)???????? ????? ? ??????? 
3)?????? ????? ????????
*????????? ?????????*
??? ????? ?????? ???????? ????? 10 ???? ? ????? ?? ??????????? ????????? ????? ????? ????????????? ??????
*???????????  ?????????*
????? ?????? ????? ? ??????? ???-??? ???? ??? ? ??????????? ????????? ?????
https://gyazo.com/3f54fce5143a03d24fa4b783236720e5",""
21295,??????,?????,??????,"? ?????????? ??????????? ? ??????? ""????????""  ????? ?? ?????? ????? ",????????? ?????????,06/22/2023 08:24 PM,"???? ???????????????:
1) ??????? ???? https://perinalux.com.ua/
2) ??????? ? ?????????? ??????????? ?????
3) ??????? ? ?????? ""????????"" 
https://gyazo.com/65d38e95f07f532aa9ccea82c71cd89a

????????? ?????????: ????? ? ??????? ""????????"" ? ?????????? ??????????? ""???. ?????? ?????, 125?""
??????????? ?????????: ????? ? ??????? ""????????"" ? ?????????? ??????????? ""???????????????? ??????, 125?""


",""
21294,??????,?????,??????????,"??? ????? ??????????? ?? ""???????"" ? ?????? ??????????? ??? ?????????????? ?????? ????????.",????????? ?????????,06/22/2023 08:24 PM,"*???? ???????????????:*
1. ??????? ???? https://perinalux.com.ua/
2. ???????? ???????? ?? ??????.
https://gyazo.com/ee418d46f58f8c9c121abbe91bd06438
https://gyazo.com/c4b90e6d28d6004590c2f604596b6e1a

*????????? ?????????:* ??? ????? ??????????? ?????? ??? ????? ?? ????????.
*??????????? ?????????:* ??? ????? ??????????? ?? ???????, ??????????? ??? ?????????????? ?????? ????????.",""
21293,??????,?????,??????????,"??????????? ????? ?? ?????????? ???????? ? ????? ""?????""",Anna Prokopets,06/22/2023 08:23 PM,"???? ???????????????:
1) ??????? ???? https://perinalux.com.ua/
2) ?????? ? ????? ""?????"" ??????? ?????????? ????????.
3) ?????? ?? ?????? ""?????"".

https://gyazo.com/a22bcfc500cdd801b3e1da0714657e35

????????? ?????????: ?????????? ????? ?? ?????????? ???????? ? ????? ""?????"".
??????????? ?????????: ??????????? ????? ?? ?????????? ???????? ? ????? ""?????"".",""
21292,??????,?????,???????,"?????????? UA ??????????? ???????? ""????????""",?????? ???????,06/22/2023 08:21 PM,"*???? ???????????????:* 
1)??????? ???? https://perinalux.com.ua/uk/
2)??????? ??????? ""????????""
3)?????????? UA ??????????? 
https://gyazo.com/d625021c70d0d4f50d9e658b2be888b4

*????????? ?????????:* ???????????  UA ??????????? ???????? ""????????""
*??????????? ?????????:* ?????????? UA ??????????? ???????? ""????????""",""
21291,??????,?????,???????,??????????? ??????????? ????? ? ?????? ???????? ??? ?????????? ?????? ,????????? ?????????,06/22/2023 08:21 PM,"*???? ???????????????:*
1) ????? ?? ???? https://perinalux.com.ua/
2) ??????? ????? ????? 
3) ??????? ? ?????????? ??????
4) ? ???? ??? ?????????? ????? ????
5) ? ???? ??????? ?????????? ????? ???? 
6)  https://gyazo.com/8eba87301f32c126c205a1f9f4096e1d
*????????? ?????????:* ???????????? ??????????? ????? ? ?????? ???????? ??? ?????????? ?????? 
*??????????? ?????????* : ??????????? ??????????? ????? ? ?????? ???????? ??? ?????????? ?????? ",""
21290,??????,?????,???????,"?? ?????????? ?????? ??????????? ???? ""???????? ?????""",Natali Rudich,06/22/2023 08:20 PM,"*???? ???????????????:*
1) ??????? ?? ???? perinalux.com.ua
2) ???????? ????? ? ??????? 
3) ??????? ? ???? ??????? 
4) ?????? ???????? ?????????? ?? ??? ?????
5) ???????? ????? 

*????????? ?????????:*
?????????? ????????? ??????? ??????? 
*??????????? ?????????:* 
????? ??????????? ? ????????????? ????? ?????? 





",""
21289,??????,?????,???????,"??????????? ????????? ? ???? ""?????? ? ???? ????""  ? UA ???????????",Vladislava Vishnevska,06/22/2023 08:18 PM,"*???? ???????????????:*
1) ??????? ???? "" https://perinalux.com.ua/uk/product/krovat-ajris-s-podemnym-mehanizmom/ ""
2)??????? UA ???????????
2)??????? ? ?????? ""?????""
3)??????? ""????? ?????""
4)???????? ?? ?????? ""?????? ? ???? ????""

https://gyazo.com/773afc556f7b6faa62e39e8f5c6812a8


*????????? ?????????:* ???????????? ????????? ? ???? ""?????? ? ???? ????""  ? UA ???????????
*??????????? ?????????:*  ??????????? ????????? ? ???? ""?????? ? ???? ????""  ? UA ???????????",""
21288,??????,?????,??????????,"?????????? ?????? ?????????? ??????? ???????? ? ??????? ""????????""",????????? ?????????,06/22/2023 08:17 PM,"*???? ???????????????:*
1) ??????? ???? perinalux.com.ua
2) ??????? ? ?????? ""????????""
3) ? ?????? ??????? ??????????? ??? 2 ?????? ????????, ??????? ???????????? ?? ????? ????? ??????? ????????.

https://gyazo.com/e48a925c3b148203a3cd368426e63a33
https://gyazo.com/e48a925c3b148203a3cd368426e63a33

*????????? ?????????:*  ????????? ???????? ?????? ""????????"", ??????????? ???? ?????????? ??????? ????????
*??????????? ?????????:* ?????????? ?????? ?????????? ??????? ???????? ? ??????? ""????????""",""
21287,??????,?????,??????,? ?????? ??????????? ???????. ??????? ?????? ????? ? ????? ????. ,????????? ?????????,06/22/2023 08:13 PM,"*???? ???????????????:*
1. ??????? ???? https://perinalux.com.ua/
2. ???????? ???????? ?? ??????.
https://gyazo.com/da4b5d2fe76a33e7ae012af0969b174f

*????????? ?????????:* ?????? ????? ????????: ?????, ?????, ????? ????.
*??????????? ?????????:* ??????? ?????? ????? ? ????? ????.",""
21286,??????,?????,??????,"??????????? ??????????? UA  ? ??????? ""?????? ??? ????????""",????????? ?????????,06/22/2023 08:16 PM,"*??????????? ?????????? ??????? ??? ?????????? ??????????? ""?????? ??? ????????""*
*???? ???????????????*
1)????? ?? ???? https://perinalux.com.ua/
2)??????? ?????????? ???????????
3)???????? ????? ? ??????? ? ??????? ?????? ??? ????????
4)??????????? ?????
*????????? ?????????*
??? ??????????? UA ""?????? ??? ????????"" ????? ?? ?????????? ?????
*??????????? ?????????*
""?????? ??? ????????"" ?? ??????? ?????

https://gyazo.com/8ce5bfc0e7cee584d0b9c0a335e4a5ac",""
21285,??????,?????,??????,? ?????? ?????????? ?????? ?????? ?????????? ????? ,????????? ?????????,06/22/2023 08:09 PM,"*???? ???????????????:*
1) ????? ?? ???? https://perinalux.com.ua/
2) https://gyazo.com/1f51dacf4b1979eaebd7df68eedd0c73
3)https://gyazo.com/b5aff5c3704d96e9ce3e849bb65feffd
*????????? ?????????*  : ???????????? ?????? ?????? ????????? ??????? 
*??????????? ?????????* :? ?????? ?????????? ?????? ?????? ?????????? ????? ",""
21284,??????,?????,??????,?? ?????????? ???????????  ? UA ?????? ?????,Vladislava Vishnevska,06/22/2023 08:08 PM,"*???? ???????????????:*
1) ??????? ???? "" https://perinalux.com.ua/uk/ ""
2)??????? UA ???????????
3)??????? ? ????? ?????

https://gyazo.com/9462e75cd2c72d70ff63b3a58d4a2a6d

*????????? ?????????:* ?????????? ??????????? ? UA ?????? ?????
*??????????? ?????????:* ?? ?????????? ???????????  ? UA ?????? ?????",""
21283,??????,?????,??????,"??????????? ??????????? ?????? ""?????? ? ???? ????"" ? ?????????? ?????? ?????.",Anna Prokopets,06/22/2023 08:07 PM,"*???? ???????????????:*
1) ??????? ???? https://perinalux.com.ua/
2) ??????? ?????????? ???????????.
3) ??????? ????? ????? ? ??????? ? ????.

https://gyazo.com/302ea18ed2ccb56a5664437ddd71d2f0

*????????? ?????????:* ???????????? ??????????? ?????? ""?????? ? ???? ????"" ? ?????????? ?????? ?????.
*??????????? ?????????:* ??? ???????? ?? ?????????? ?????? ????? - ??????????? ??????? ??????.",""
21282,??????,?????,??????????,"??????????? ??????????? ? ?????? ""?????"", ? ?????? ??????? ????????.",Oleksandr Lyshenko,06/22/2023 08:07 PM,"*???? ???????????????:*
*1)* ??????? ??????? ???????? ????? https://perinalux.com.ua
*2)* ??????????? ??????????? ? ?????? ??????? ???????? ?? ""UA""
*3)* ???????? ???????? ?? ?????? ""?????"" ? ?????? ??????? ????????.

https://gyazo.com/0ac056571287397d339c5b0dec25e7ae

*????????? ?????????:* ??????????? ? ?????? ""?????"", ? ?????? ??????? ????????.
*??????????? ?????????:* ??????????? ??????????? ?  ? ?????? ""?????"", ? ?????? ??????? ????????.",""
21281,??????,?????,??????,?? ????????? ???????? ?????????? ??????????? ,Natali Rudich,06/22/2023 08:05 PM,"*???? ???????????????:* 
1) ??????? ?? ???? perinalux.com.ua
2) ??????? ?????? ????????
3) ????????? ???????? ????? ?? ?????????? ???????????


*????????? ?????????:*
???? ??????????? ?? ??????????
*??????????? ?????????:*
???? ??????????? ?? ????????? ",""
21280,??????,?????,??????,"?????????? ????????? ?????? ???????? ? ????? ""?????? ? ???? ????""",?????? ???????,06/22/2023 08:05 PM,"*???? ???????????????:* 
1)??????? ???? https://perinalux.com.ua/
2)??????? ????? ????? ??? ??????? 
3)??????? ?????? ""?????? ? ???? ????""
4)?????? ?? ?????????? ?????? 
https://gyazo.com/30f0b07fe87e0621d32f48e2f3bc3316

*????????? ?????????:* ??????????? ????????? ?????? ???????? ? ????? ""?????? ? ???? ????""
*??????????? ?????????:*?????????? ????????? ?????? ???????? ? ????? ""?????? ? ???? ????""",""
21279,??????,?????,??????,"?????????? ??????????? ? ??????? ""???????? ? ??????""",????????? ?????????,06/22/2023 08:02 PM,"*???? ???????????????:*
1) ??????? ???? perinalux.com.ua
2)??????? ? ?????? ""???????? ? ??????""

https://gyazo.com/51e08affa3447e3c245d2e658e711cc6



*????????? ?????????:* ??????????? ??????? ??????? 
*??????????? ?????????:* ?????????? ??????????? ? ??????? ""???????? ? ??????""",""
21278,??????,?????,??????????,??????????? ???????? ??????  ? ?????? ? ??????? ???????? ,????????? ?????????,06/22/2023 08:02 PM,"*???? ???????????????:*
1) ????? ?? ???? https://perinalux.com.ua/
2) ??????? ? ?????? ???????? ? ?????? 
3)https://gyazo.com/d3f2a278f3b55847060f6e5b5a1404b6
*????????? ?????????* : ???????????? ???????? ??????  ? ?????? ? ??????? ???????? 
*??????????? ?????????*:??????????? ???????? ??????  ? ?????? ? ??????? ???????? ",""
21277,??????,?????,??????????,??? ?????????? ?????? ? ??????? ???????? ?????? ????????? ?????? ,?????? ???????,06/22/2023 08:00 PM,"*???? ???????????????:*
1)??????? ????? ????? ?? ????? https://perinalux.com.ua/
2)?????? ?????? ""? ???????""
3)???????? ???????? ?? ????????? ?????? ?????
https://gyazo.com/3ed655027ac25417de4cb8243c0b1250

*??????????? ?????????:*?????????? ?????? ? ??????? ????? ????? ???????? 
*????????? ?????????:*??? ?????????? ?????? ? ??????? ?????????????? ????????? ??????
",""
20549,??????,?????,???????,?????????? ??????????? ?? ????? ??? ?????? ?????? Georgia,Nina Draganova,04/20/2023 08:39 PM,"*???? ???????????????:*
1) ??????? ???? "" https://www.hennessy.com/en-int ""
2)??????? ?????? ""Georgia""
3)??????? ??? ???????? 2000

https://gyazo.com/a57a1f2e4d34d5993b95dee1c3ca06d3

*????????? ?????????:* ???????????? ???????????(??????????) ??? ?????? ?????? Georgia
*??????????? ?????????:* ??????????? ??????????? ??? ?????? ?????? Georgia",""
20548,??????,?????,??????????,"??????????? ??????????? ??? ?????? ?????? "" ????????? """,Vladislava Vishnevska,04/20/2023 08:38 PM,"*???? ???????????????:*
1) ??????? ???? "" https://www.hennessy.com/en-int ""
2)??????? ?????? ""?????????""
3)??????? ??? ???????? 2000

https://gyazo.com/a491a2c5211d5fe2a05d6c01f10eb66a

*????????? ?????????:* ???????????? ???????????(?? ???????????) ??? ?????? ?????? ""?????????""
*??????????? ?????????:* ??????????? ??????????? ??? ?????? ?????? "" ????????? """,""
20547,??????,?????,??????????,??????????? ?????????? ??????????? ??? ?????? ?????? Senegal ,???????  ??????? ,04/20/2023 08:38 PM,"*???? ???????????????:*
1) ????? ?? ???? https://www.hennessy.com/en-int
2) ?????? ?????? Senegal
3) ?????? ???????? ????? 17 ???
dd9ce0e0bb9ef2917a110eb469aa415e
*???????? ????????? :* ??? ????? ?????? Senegal  -???? ?????? ????? ?? ??????????? ??????????? 
*??????????? ?????????:* ??? ????? ?????? Senegal  -???? ?????? ????? ?? ?????????? ???????????",""
20546,??????,?????,???????,"?? ??????????? ???? ??? ?????? ??????? ""????????????""",Natali Rudich,04/20/2023 08:38 PM,"*???? ???????????????:* 
1) ??????? ?? ???? ???????? 
2) ??????? ?????? "" ????????????"" 
3) ??????? ???? ????????
4) ?????? ?????? "" ????"" 

*????????? ?????????*  : ??????? ?? ???????? ? ???????????? ??????? ""????????????""
*??????????? :* ??? ??????? ?????? ""????"" ?????? ?? ?????????? ",""
20545,??????,?????,???????,"??????????? ??????????? ?? ??????? ???????? ??? ?????? ""Vanuatu""",????????? ?????????,04/20/2023 08:36 PM,"*???? ???????????????:*
*1)* ??????? ??????? ???????? ????? https://www.hennessy.com
*2)* ? ??????????? ?? ?????? ????????? ?????????? ????, ? ?????? ""COUNTRY / REGION*"" ???????? ??????
*3)* ? ??????????? ?? ?????? ????????? ?????????? ????, ? ?????? ""YEAR OF BIRTH*"" ???????? ???? ???????? 
*4)* ? ??????????? ?? ?????? ????????? ?????????? ????, ?????? ?????? ""ENTER"" 


https://gyazo.com/30b58a295167975d7f6105edd74393ce


*????????? ?????????:* ??????????? ??????????? ?? ??????? ???????? ??? ??????? ""Vanuatu""
*??????????? ?????????:* ??????????? ??????????? ?? ??????? ???????? ??? ??????? ""Vanuatu""",""
20544,??????,?????,??????????,"??????????? ??????????? ??? ?????? ?????? "" ?????????? """,Vladislava Vishnevska,04/20/2023 08:35 PM,"*???? ???????????????:*
1) ??????? ???? "" https://www.hennessy.com/en-int ""
2)??????? ?????? ""??????????""
3)??????? ??? ???????? 2000

https://gyazo.com/a491a2c5211d5fe2a05d6c01f10eb66a

*????????? ?????????:*  ???????????? ???????????(?? ??????????????) ??? ?????? ?????? ""??????????""
*??????????? ?????????:* ??????????? ??????????? ??? ?????? ?????? "" ?????????? """,""
20543,??????,?????,???????,?????????? ??????????? ?? ????? ??? ?????? ?????? Gabon,Nina Draganova,04/20/2023 08:35 PM,"*???? ???????????????:*
1)??????? ???? "" https://www.hennessy.com/en-int ""
2)??????? ?????? ""Gabon""
3)??????? ??? ???????? 

https://gyazo.com/a57a1f2e4d34d5993b95dee1c3ca06d3

*????????? ?????????:* ???????????? ???????????(???????????) ??? ?????? ?????? Gabon
*??????????? ?????????:*  ??????????? ??????????? ??? ?????? ?????? Gabon",""
20542,??????,?????,??????????,"??????????? ??????????? ??? ?????? ?????? ""??????"" ",Dubrovin Denis,04/20/2023 08:35 PM,"*???? ???????????????:*
1. ??????? ???? https://www.hennessy.com
2. ??????? ?????? ""??????""
3. ????????? ??????? 18 ???.
4. ????? ?? ????.
https://gyazo.com/7d1021b2cafba4e2fc9fc1a23a3bb14e

*????????? ?????????:* ???? ??????????? ?? ????????? ?????.
*??????????? ?????????:*???? ??????????? ?? ?????????? ?????.",""
20541,??????,?????,??????????,??????????? ????????? ??????????? ??? ?????? ?????? ???????,Anastasiya Lopatovskaya,04/20/2023 08:33 PM,"*???? ???????????????*
1) ????? ?? ???? https://www.hennessy.com/
2) ??????? ?????? ???????
3) ??????? ??? ???????? 2000

https://gyazo.com/1d378745a2a65898b7623905c7bea9fa

*????????? ?????????*: ???? ?????? ??????????? ?? ????????? ?????
*??????????? ?????????*: ???? ??????????? ? Eng ????????????
",""
20540,??????,?????,??????????,"???????????? ??????????? ?????? ""??????""",????????? ?????????,04/20/2023 08:33 PM,"???? ???????????????:
1.????? ?? ???? https://www.hennessy.com
2.??????? ??????????? ""??????""
3.??????? ??????? ?? 18 ???
????????? ?????????:
???? ??????????? ""??????"" ????????
??????????? ?????????
???? ??????????? ??????????

https://gyazo.com/static/78ea33162ee11455a53dc9dabe82ab26.png.html#unsupported-browser",""
20539,??????,?????,???????,"??????????? ??????????? ??? ?????? ?????? ""??????"" ",Dubrovin Denis,04/20/2023 08:32 PM,"*???? ???????????????:*
1. ??????? ???? https://www.hennessy.com
2. ??????? ?????? ""????????""
3. ????????? ??????? 18 ???.
4. ????? ?? ????.
https://gyazo.com/7d1021b2cafba4e2fc9fc1a23a3bb14e

*????????? ?????????:* ???? ??????????? ?? ????????? ?????.
*??????????? ?????????:* ???? ??????????? ?? ?????????? ?????.",""
20538,??????,?????,???????,??????????? ???????? ????? ?? ????????? ?????,??????? ????????,04/20/2023 08:31 PM,"*???? ???????????????:*
1) ??????? ???? https://www.hennessy.com/
2) ??????? ?????? ""????????? ???????""
3) ??????? 2007 ??? ???????? 
4) ?????? ?????? ""??????""

https://gyazo.com/39960149eb868e0383a66f3cee148987

*????????? ?????????:* ??????????? ???????? ????? ?? ????????? ?????
*??????????? ?????????:* ?? ??????????? ???????? ????? ?? ????????? ?????",""
20537,??????,?????,??????????,?????? ????????? ?? ???????? ??? ?????? ?????? - Marshal Islands,Maksym Shymin,04/20/2023 08:31 PM,"*???? ???????????????*
1. ????? ?? ???? https://www.hennessy.com/
2. ? ??????????? ???? ? ???? ""COUNTRY / REGION"" ??????? ""Marshal Islands""
3. ? ???? ""YEAR OF BIRTH"" ??????? ""2005""
4. ????????? ??????

*????????? ?????????:*
? ??????? ???????? (??????? ??????? ???????? ? ?????? - 21)

*??????????? ?????????:*
?????? ???????",""
